テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力データ,手順,期待結果,確認方法・証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,ブラウザ/プロジェクト結果,Bug ID,実行メモ
TC-E2E-001,TD006,TV006,TA002,E2E自動,E2E,高,TD006 タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割01,F101-F104、AC001-AC002 の仕様を確認できるテストデータを用意し、対象設計 TD006 の条件を再現する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td006_001@example.test、対象データ名は TC-E2E-001 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること のうち「タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F101-F104、AC001-AC002,R002,作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-001,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-002,TD006,TV006,TA002,E2E自動,E2E,高,TD006 タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割02,F101-F104、AC001-AC002 の仕様を確認できるテストデータを用意し、対象設計 TD006 の条件を再現する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td006_002@example.test、対象データ名は TC-E2E-002 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること のうち「タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F101-F104、AC001-AC002,R002,作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-002,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-003,TD006,TV006,TA002,E2E自動,E2E,高,TD006 タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割03,F101-F104、AC001-AC002 の仕様を確認できるテストデータを用意し、対象設計 TD006 の条件を再現する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td006_003@example.test、対象データ名は TC-E2E-003 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること のうち「タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F101-F104、AC001-AC002,R002,作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-003,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-004,TD006,TV006,TA002,E2E自動,E2E,高,TD006 タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割04,F101-F104、AC001-AC002 の仕様を確認できるテストデータを用意し、対象設計 TD006 の条件を再現する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td006_004@example.test、対象データ名は TC-E2E-004 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,タスクの作成、再表示、編集、削除がSupabaseへ永続化されること のうち「タスクの作成、再表示、編集、削除がSupabaseへ永続化されること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,F101-F104、AC001-AC002,R002,作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-004,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-005,TD007,TV007,TA002,E2E自動,E2E,高,TD007 新規タスクのステータス未着手、優先度中、数量1が適用されること 分割01,README タスク登録 の仕様を確認できるテストデータを用意し、対象設計 TD007 の条件を再現する。,新規タスクのステータス未着手、優先度中、数量1が適用されること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td007_005@example.test、対象データ名は TC-E2E-005 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,新規タスクのステータス未着手、優先度中、数量1が適用されること のうち「新規タスクのステータス未着手、優先度中、数量1が適用されること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README タスク登録,"R002, R007",作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-005,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-006,TD007,TV007,TA002,E2E自動,E2E,高,TD007 新規タスクのステータス未着手、優先度中、数量1が適用されること 分割02,README タスク登録 の仕様を確認できるテストデータを用意し、対象設計 TD007 の条件を再現する。,新規タスクのステータス未着手、優先度中、数量1が適用されること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td007_006@example.test、対象データ名は TC-E2E-006 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,新規タスクのステータス未着手、優先度中、数量1が適用されること のうち「新規タスクのステータス未着手、優先度中、数量1が適用されること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README タスク登録,"R002, R007",作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-006,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-007,TD007,TV007,TA002,E2E自動,E2E,高,TD007 新規タスクのステータス未着手、優先度中、数量1が適用されること 分割03,README タスク登録 の仕様を確認できるテストデータを用意し、対象設計 TD007 の条件を再現する。,新規タスクのステータス未着手、優先度中、数量1が適用されること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td007_007@example.test、対象データ名は TC-E2E-007 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,新規タスクのステータス未着手、優先度中、数量1が適用されること のうち「新規タスクのステータス未着手、優先度中、数量1が適用されること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README タスク登録,"R002, R007",作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-007,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-008,TD007,TV007,TA002,E2E自動,E2E,高,TD007 新規タスクのステータス未着手、優先度中、数量1が適用されること 分割04,README タスク登録 の仕様を確認できるテストデータを用意し、対象設計 TD007 の条件を再現する。,新規タスクのステータス未着手、優先度中、数量1が適用されること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td007_008@example.test、対象データ名は TC-E2E-008 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,新規タスクのステータス未着手、優先度中、数量1が適用されること のうち「新規タスクのステータス未着手、優先度中、数量1が適用されること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README タスク登録,"R002, R007",作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-008,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-009,TD007,TV007,TA002,E2E自動,E2E,高,TD007 新規タスクのステータス未着手、優先度中、数量1が適用されること 分割05,README タスク登録 の仕様を確認できるテストデータを用意し、対象設計 TD007 の条件を再現する。,新規タスクのステータス未着手、優先度中、数量1が適用されること 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td007_009@example.test、対象データ名は TC-E2E-009 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,新規タスクのステータス未着手、優先度中、数量1が適用されること のうち「新規タスクのステータス未着手、優先度中、数量1が適用されること 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README タスク登録,"R002, R007",作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-009,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
TC-E2E-010,TD007,TV007,TA002,E2E自動,E2E,高,TD007 新規タスクのステータス未着手、優先度中、数量1が適用されること 分割06,README タスク登録 の仕様を確認できるテストデータを用意し、対象設計 TD007 の条件を再現する。,新規タスクのステータス未着手、優先度中、数量1が適用されること 分割06。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td007_010@example.test、対象データ名は TC-E2E-010 とする。,1. Playwright E2E の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,新規タスクのステータス未着手、優先度中、数量1が適用されること のうち「新規タスクのステータス未着手、優先度中、数量1が適用されること 分割06」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Playwright実行ログ、スクリーンショット、コンソールエラー確認結果,なし,README タスク登録,"R002, R007",作成済み,Fail,20260628164214,E2E_BASE_URL=http://127.0.0.1:5173/ E2E_IMPLEMENT_ALL=true <test credentials> node node_modules/@playwright/test/cli.js test --config playwright.config.cjs --reporter=json --max-failures=10,chromium:Fail(failed),E2E-BUG-010,"Playwright JSONで対象テストケースIDの失敗を確認: chromium: Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m Error: page.goto: net::ERR_CONNECTION_REFUSED at http://127.0.0.1:5173/
Call log:
[2m  - navigating to ""http://127.0.0.1:5173/"", waiting until ""load""[22m


  44 |
  45 | async function loginOrSignUp(page, testCase) {
> 46 |   await page.goto('/');
     |              ^
  47 |   await page.waitForLoadState('domcontentloaded');
  48 |
  49 |   if (await page.getByRole('button', { name: '新規タスク' }).isVisible().catch(() => false)) {
    at loginOrSignUp (C:\Users\ryo31\OneDrive\ドキュメント\PersonalTaskManage_テスト管理\PersonalTaskManage_Re01\tests\e2"
