テストケースID,元テスト設計ID,テスト観点ID,テストアプローチID,実行区分,テストレベル/タイプ,優先度,テストケース名,前提条件,入力データ,手順,期待結果,確認方法・証跡,関連質問ID,仕様,リスクID,状態,実行結果,実行日時,実行コマンド,Bug ID,実行メモ
TC-CB-001,TD011,TV011,TA003,コードベース,Unit,高,TD011 未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割01,F107-F111、TaskContext の仕様を確認できるテストデータを用意し、対象設計 TD011 の条件を再現する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割01。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td011_001@example.test、対象データ名は TC-CB-001 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること のうち「未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割01」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,F107-F111、TaskContext,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-002,TD011,TV011,TA003,コードベース,Unit,高,TD011 未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割02,F107-F111、TaskContext の仕様を確認できるテストデータを用意し、対象設計 TD011 の条件を再現する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割02。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td011_002@example.test、対象データ名は TC-CB-002 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること のうち「未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割02」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,F107-F111、TaskContext,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-003,TD011,TV011,TA003,コードベース,Unit,高,TD011 未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割03,F107-F111、TaskContext の仕様を確認できるテストデータを用意し、対象設計 TD011 の条件を再現する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割03。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td011_003@example.test、対象データ名は TC-CB-003 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること のうち「未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割03」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,F107-F111、TaskContext,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-004,TD011,TV011,TA003,コードベース,Unit,高,TD011 未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割04,F107-F111、TaskContext の仕様を確認できるテストデータを用意し、対象設計 TD011 の条件を再現する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割04。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td011_004@example.test、対象データ名は TC-CB-004 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること のうち「未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割04」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,F107-F111、TaskContext,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-005,TD011,TV011,TA003,コードベース,Unit,高,TD011 未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割05,F107-F111、TaskContext の仕様を確認できるテストデータを用意し、対象設計 TD011 の条件を再現する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割05。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td011_005@example.test、対象データ名は TC-CB-005 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること のうち「未着手→進行中→中断→再開→完了の各遷移でセッションが正しい順序で開閉すること 分割05」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,F107-F111、TaskContext,R003,作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-006,TD012,TV012,TA003,コードベース,Unit,高,TD012 直前,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,直前。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_006@example.test、対象データ名は TC-CB-006 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「直前」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-007,TD012,TV012,TA003,コードベース,Unit,高,TD012 境界,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,境界。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_007@example.test、対象データ名は TC-CB-007 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「境界」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-008,TD012,TV012,TA003,コードベース,Unit,高,TD012 直後 構造値: SSI017: 日 `[00:00,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,直後 構造値: SSI017: 日 `[00:00。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_008@example.test、対象データ名は TC-CB-008 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「直後 構造値: SSI017: 日 `[00:00」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-009,TD012,TV012,TA003,コードベース,Unit,高,TD012 翌00:00)`,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,翌00:00)`。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_009@example.test、対象データ名は TC-CB-009 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「翌00:00)`」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
TC-CB-010,TD012,TV012,TA003,コードベース,Unit,高,TD012 月 `[月初,README 日時仕様 の仕様を確認できるテストデータを用意し、対象設計 TD012 の条件を再現する。,月 `[月初。基準日時は2026-06-27 09:00 JST、テスト用ユーザーは tc_td012_010@example.test、対象データ名は TC-CB-010 とする。,1. 自動Unitテスト の実行環境を準備する。2. 入力データの条件で対象操作または検証関数を実行する。3. 保存後に再読込または再取得し、対象の表示、DB値、戻り値、ログを確認する。,23:59、00:00、00:01および日跨ぎセッションの実績分数が正しいこと のうち「月 `[月初」について、期待結果/判定観点に記載された仕様と一致し、独立してPass/Failを判定できる。,Unit/Integration/Regressionの実行ログ、対象アサーション結果、またはコードレビュー記録,なし,README 日時仕様,"R003, R014",作成済み,Pass,20260628153158,codebase tests with TC-CB trace output,,実行ログでテストケースIDの成功を確認
